gene,anchor_index,function
IGHV3-33*03,285,F
IGHV3-33*04,285,F
IGHV3-33*05,285,F
IGHV3-33*06,285,F
IGHV3-33-2*01,285,P
IGHV3-33-2*02,285,P
IGHV3-35*01,285,ORF
IGHV3-38*01,279,ORF
IGHV3-38*02,279,ORF
IGHV3-38*03,279,ORF
IGHV3-38-3*01,279,ORF
IGHV3-43*01,285,F
IGHV3-43*02,285,F
IGHV3-43D*01,285,F
IGHV3-47*01,282,P
IGHV3-47*02,282,P
IGHV3-48*01,285,F
IGHV3-48*02,285,F
IGHV3-48*03,285,F
IGHV3-48*04,285,F
IGHV3-49*01,291,F
IGHV3-49*02,291,F
IGHV3-49*03,291,F
IGHV3-49*04,291,F
IGHV3-49*05,291,F
IGHV3-52*01,285,P
IGHV3-52*02,285,P
IGHV3-52*03,285,P
IGHV3-53*01,282,F
IGHV3-53*02,282,F
IGHV3-53*03,282,F
IGHV3-53*04,282,F
IGHV3-54*01,285,P
IGHV3-54*02,285,P
IGHV3-54*04,285,P
IGHV3-62*01,285,P
IGHV3-63*01,285,P
IGHV3-63*02,285,P
IGHV3-64*01,285,F
IGHV3-64*02,285,F
IGHV3-64*03,285,F
IGHV3-64*04,285,F
IGHV3-64*05,285,F
IGHV3-64D*06,285,F
IGHV3-66*01,282,F
IGHV3-66*02,282,F
IGHV3-66*03,282,F
IGHV3-66*04,282,F
IGHV3-69-1*01,282,P
IGHV3-69-1*02,282,P
IGHV3-7*01,285,F
IGHV3-7*02,285,F
IGHV3-7*03,285,F
IGHV3-71*01,291,P
IGHV3-71*02,291,P
IGHV3-71*03,291,P
IGHV3-72*01,291,F
IGHV3-72*02,210,F
IGHV3-73*01,291,F
IGHV3-73*02,291,F
IGHV3-74*01,285,F
IGHV3-74*02,285,F
IGHV3-74*03,285,F
IGHV3-9*01,285,F
IGHV3-9*02,285,F
IGHV3-9*03,285,F
IGHV3-NL1*01,285,F
IGHV4-28*01,285,F
IGHV4-28*02,285,F
IGHV4-28*03,285,F
IGHV4-28*04,285,F
IGHV4-28*05,285,F
IGHV4-28*06,285,F
IGHV4-28*07,285,F
IGHV4-30-2*01,288,F
IGHV4-30-2*02,288,F
IGHV4-30-2*03,288,F
IGHV4-30-2*04,216,F
IGHV4-30-2*05,288,F
IGHV4-30-2*06,288,F
IGHV4-30-4*01,288,F
IGHV4-30-4*02,288,F
IGHV4-30-4*03,288,F
IGHV4-30-4*04,288,F
IGHV4-30-4*05,217,F
IGHV4-30-4*06,216,F
IGHV4-30-4*07,288,F
IGHV4-31*01,288,F
IGHV4-31*02,288,F
IGHV4-31*03,288,F
IGHV4-31*04,288,F
IGHV4-31*05,285,F
IGHV4-31*06,288,F
IGHV4-31*07,288,F
IGHV4-31*08,288,F
IGHV4-31*09,288,F
IGHV4-31*10,288,F
IGHV4-34*01,282,F
IGHV4-34*02,282,F
IGHV4-34*03,282,F
IGHV4-34*04,282,F
IGHV4-34*05,282,F
IGHV4-34*06,282,F
IGHV4-34*07,282,F
IGHV4-34*08,282,F
IGHV4-34*09,282,F
IGHV4-34*10,282,F
IGHV4-34*11,282,F
IGHV4-34*12,282,F
IGHV4-34*13,210,F
IGHV4-38-2*01,285,F
IGHV4-38-2*02,285,F
IGHV4-39*01,288,F
IGHV4-39*02,288,F
IGHV4-39*03,288,F
IGHV4-39*04,209,F
IGHV4-39*05,288,F
IGHV4-39*06,288,F
IGHV4-39*07,288,F
IGHV4-4*01,285,F
IGHV4-4*02,285,F
IGHV4-4*03,285,F
IGHV4-4*04,285,F
IGHV4-4*05,285,F
IGHV4-4*06,213,F
IGHV4-4*07,282,F
IGHV4-4*08,282,F
IGHV4-55*01,285,P
IGHV4-55*02,285,P
IGHV4-55*03,285,P
IGHV4-55*04,285,P
IGHV4-55*05,285,P
IGHV4-55*06,285,P
IGHV4-55*07,285,P
IGHV4-55*08,285,P
IGHV4-55*09,285,P
IGHV4-59*01,282,F
IGHV4-59*02,282,F
IGHV4-59*03,282,F
IGHV4-59*04,282,F
IGHV4-59*05,282,F
IGHV4-59*06,282,F
IGHV4-59*07,282,F
IGHV4-59*08,282,F
IGHV4-59*09,210,F
IGHV4-59*10,282,F
IGHV4-61*01,288,F
IGHV4-61*02,288,F
IGHV4-61*03,288,F
IGHV4-61*04,285,F
IGHV4-61*05,288,F
IGHV4-61*06,216,ORF
IGHV4-61*07,216,F
IGHV4-61*08,288,F
IGHV5-10-1*01,285,F
IGHV5-10-1*02,284,F
IGHV5-10-1*03,285,F
IGHV5-10-1*04,285,F
IGHV5-51*01,285,F
IGHV5-51*02,285,F
IGHV5-51*03,285,F
IGHV5-51*04,285,F
IGHV5-51*05,251,F
IGHV5-78*01,285,P
IGHV5-78*02,285,P
IGHV6-1*01,294,F
IGHV6-1*02,294,F
IGHV7-34-1*01,282,P
IGHV7-34-1*02,282,P
IGHV7-4-1*01,285,F
IGHV7-4-1*02,285,F
IGHV7-4-1*03,285,F
IGHV7-4-1*04,285,F
IGHV7-4-1*05,285,F
IGHV7-40*03,285,P
IGHV7-81*01,285,ORF
